step,aaa-uninformed_num,aaa-uninformed_coverage,aaa-disinformed_num,aaa-disinformed_coverage,aaa-informed_num,aaa-informed_coverage,aaa-informing_num,aaa-informing_coverage,aaa-disinforming_num,aaa-disinforming_coverage
59,2306,0.5984946794705425,1451,0.37658967038671165,4,0.0010381520892810796,,,92,0.023877498053464834
60,2247,0.5831819361536466,1530,0.397093174150013,4,0.0010381520892810796,,,72,0.018686737607059436
61,2214,0.5746171814170776,1562,0.4053983908642616,3,7.786140669608098E-4,1,2.595380223202699E-4,73,0.018946275629379703
62,2178,0.5652738126135479,1598,0.4147417596677913,3,7.786140669608098E-4,1,2.595380223202699E-4,73,0.018946275629379703
63,2119,0.549961069296652,1676,0.4349857254087724,4,0.0010381520892810796,,,54,0.014015053205294576
64,2092,0.5429535426940046,1669,0.4331689592525305,3,7.786140669608098E-4,1,2.595380223202699E-4,88,0.022839345964183754
65,2044,0.5304957176226317,1725,0.4477030885024656,3,7.786140669608098E-4,1,2.595380223202699E-4,80,0.020763041785621595
66,2001,0.5193355826628601,1772,0.4599013755515183,4,0.0010381520892810796,,,76,0.019724889696340515
67,1967,0.5105112899039709,1804,0.46820659226576694,4,0.0010381520892810796,,,78,0.020243965740981053
68,1935,0.5022060731897223,1837,0.47677134700233587,4,0.0010381520892810796,,,77,0.019984427718660783
69,1887,0.4897482481183493,1886,0.48948871009602907,4,0.0010381520892810796,,,76,0.019724889696340515
70,1857,0.48196210744874124,1920,0.49831300285491825,4,0.0010381520892810796,,,72,0.018686737607059436
71,1815,0.4710615105112899,1969,0.5110303659486115,4,0.0010381520892810796,,,65,0.016869971450817544
72,1774,0.46042045159615885,1999,0.5188165066182195,4,0.0010381520892810796,,,76,0.019724889696340515
73,1732,0.4495198546587075,2041,0.5297171035556709,3,7.786140669608098E-4,1,2.595380223202699E-4,76,0.019724889696340515
74,1697,0.44043602387749803,2077,0.5390604723592006,4,0.0010381520892810796,,,75,0.019465351674020245
75,1654,0.42927588891772644,2128,0.5522969114975343,4,0.0010381520892810796,,,67,0.017389047495458086
76,1626,0.4220088242927589,2135,0.5541136776537763,3,7.786140669608098E-4,1,2.595380223202699E-4,88,0.022839345964183754
77,1597,0.41448222164547105,2168,0.5626784323903452,4,0.0010381520892810796,,,84,0.021801193874902675
78,1562,0.4053983908642616,2217,0.5753957954840384,4,0.0010381520892810796,,,70,0.018167661562418894
79,1527,0.39631456008305216,2246,0.5829223981313263,3,7.786140669608098E-4,1,2.595380223202699E-4,76,0.019724889696340515
80,1495,0.38800934336880355,2283,0.5925253049571763,4,0.0010381520892810796,,,71,0.018427199584739165
81,1466,0.3804827407215157,2306,0.5984946794705425,4,0.0010381520892810796,,,77,0.019984427718660783
82,1437,0.3729561380742279,2335,0.6060212821178302,4,0.0010381520892810796,,,77,0.019984427718660783
83,1401,0.36361276927069813,2370,0.6151051128990397,4,0.0010381520892810796,,,78,0.020243965740981053
84,1365,0.3542694004671684,2414,0.6265247858811316,4,0.0010381520892810796,,,70,0.018167661562418894
85,1335,0.34648325979756034,2457,0.6376849208409032,4,0.0010381520892810796,,,57,0.014793667272255385
86,1320,0.34259018946275627,2455,0.6371658447962627,3,7.786140669608098E-4,1,2.595380223202699E-4,74,0.019205813651699974
87,1292,0.33532312483778876,2499,0.6485855177783545,4,0.0010381520892810796,,,58,0.015053205294575656
88,1271,0.32987282636906307,2513,0.6522190500908384,3,7.786140669608098E-4,1,2.595380223202699E-4,65,0.016869971450817544
89,1248,0.32390345185569686,2543,0.6600051907604464,3,7.786140669608098E-4,1,2.595380223202699E-4,58,0.015053205294575656
90,1226,0.3181936153646509,2567,0.6662341032961329,4,0.0010381520892810796,,,56,0.014534129249935116
91,1208,0.31352193096288605,2579,0.6693485595639761,4,0.0010381520892810796,,,62,0.016091357383856735
92,1181,0.3065144043602388,2613,0.6781728523228653,4,0.0010381520892810796,,,55,0.014274591227614845
93,1161,0.30132364391383337,2618,0.6794705424344667,3,7.786140669608098E-4,1,2.595380223202699E-4,70,0.018167661562418894
94,1132,0.29379704126654554,2654,0.6888139112379964,4,0.0010381520892810796,,,63,0.016350895406177006
95,1107,0.2873085907085388,2693,0.6989358941084869,4,0.0010381520892810796,,,49,0.012717363093693226
96,1087,0.2821178302621334,2704,0.7017908123540099,4,0.0010381520892810796,,,58,0.015053205294575656
97,1064,0.2761484557487672,2739,0.7108746431352193,4,0.0010381520892810796,,,46,0.011938749026732417
98,1046,0.2714767713470023,2748,0.7132104853361018,4,0.0010381520892810796,,,55,0.014274591227614845
99,1028,0.26680508694523747,2766,0.7178821697378666,4,0.0010381520892810796,,,55,0.014274591227614845
100,1016,0.26369063067739423,2784,0.7225538541396315,4,0.0010381520892810796,,,49,0.012717363093693226
101,991,0.2572021801193875,2812,0.729820918764599,4,0.0010381520892810796,,,46,0.011938749026732417
102,977,0.2535686478069037,2818,0.7313781468985207,4,0.0010381520892810796,,,54,0.014015053205294576
103,954,0.2475992732935375,2844,0.7381261354788476,4,0.0010381520892810796,,,51,0.013236439138333765
104,926,0.24033220866856994,2880,0.7474695042823774,4,0.0010381520892810796,,,43,0.011160134959771606
105,915,0.23747729042304697,2880,0.7474695042823774,4,0.0010381520892810796,,,54,0.014015053205294576
106,897,0.2328056060212821,2909,0.7549961069296652,4,0.0010381520892810796,,,43,0.011160134959771606
107,885,0.22969114975343888,2915,0.7565533350635868,4,0.0010381520892810796,,,49,0.012717363093693226
108,866,0.22475992732935374,2941,0.7633013236439138,4,0.0010381520892810796,,,42,0.010900596937451337
109,852,0.22112639501686998,2949,0.765377627822476,4,0.0010381520892810796,,,48,0.012457825071372957
110,839,0.21775240072670646,2971,0.7710874643135219,3,7.786140669608098E-4,1,2.595380223202699E-4,39,0.010121982870490527
111,825,0.21411886841422267,2978,0.7729042304697639,4,0.0010381520892810796,,,46,0.011938749026732417
112,806,0.20918764599013756,3002,0.7791331430054503,4,0.0010381520892810796,,,41,0.010641058915131067
113,791,0.20529457565533352,3020,0.7838048274072151,4,0.0010381520892810796,,,38,0.009862444848170258
114,779,0.20218011938749025,3033,0.7871788216973786,3,7.786140669608098E-4,1,2.595380223202699E-4,37,0.009602906825849987
115,770,0.19984427718660783,3038,0.78847651180898,4,0.0010381520892810796,,,41,0.010641058915131067
116,757,0.19647028289644433,3056,0.7931481962107448,4,0.0010381520892810796,,,36,0.009343368803529718
117,746,0.19361536465092136,3054,0.7926291201661043,4,0.0010381520892810796,,,49,0.012717363093693226
118,726,0.18842460420451596,3087,0.8011938749026732,4,0.0010381520892810796,,,36,0.009343368803529718
119,721,0.18712691409291463,3083,0.8001557228133922,4,0.0010381520892810796,,,45,0.011679211004412146
120,712,0.18479107189203217,3094,0.8030106410589152,4,0.0010381520892810796,,,43,0.011160134959771606
121,693,0.17985984946794706,3115,0.8084609395276408,4,0.0010381520892810796,,,41,0.010641058915131067
122,678,0.17596677913314301,3146,0.8165066182195692,4,0.0010381520892810796,,,25,0.006488450558006748
123,674,0.17492862704386192,3135,0.8136516999740462,4,0.0010381520892810796,,,40,0.010381520892810797
124,663,0.17207370879833897,3141,0.8152089281079679,4,0.0010381520892810796,,,45,0.011679211004412146
125,649,0.1684401764858552,3163,0.8209187645990138,4,0.0010381520892810796,,,37,0.009602906825849987
126,637,0.16532572021801195,3167,0.8219569166882948,4,0.0010381520892810796,,,45,0.011679211004412146
127,623,0.16169218790552817,3193,0.8287049052686218,3,7.786140669608098E-4,1,2.595380223202699E-4,33,0.008564754736568907
128,611,0.15857773163768493,3205,0.8318193615364651,4,0.0010381520892810796,,,33,0.008564754736568907
129,600,0.15572281339216196,3201,0.830781209447184,4,0.0010381520892810796,,,48,0.012457825071372957
130,587,0.15234881910199843,3230,0.8383078120944718,4,0.0010381520892810796,,,32,0.008305216714248637
131,578,0.150012976901116,3233,0.8390864261614327,4,0.0010381520892810796,,,38,0.009862444848170258
132,563,0.14611990656631196,3257,0.8453153386971192,3,7.786140669608098E-4,1,2.595380223202699E-4,29,0.007526602647287828
133,552,0.143264988320789,3265,0.8473916428756813,4,0.0010381520892810796,,,32,0.008305216714248637
134,542,0.1406696080975863,3288,0.8533610173890475,3,7.786140669608098E-4,1,2.595380223202699E-4,19,0.004931222424085129
135,536,0.13911237996366468,3282,0.8518037892551259,4,0.0010381520892810796,,,31,0.008045678691928368
136,525,0.1362574617181417,3293,0.8546587075006489,4,0.0010381520892810796,,,31,0.008045678691928368
137,514,0.13340254347261873,3307,0.8582922398131326,4,0.0010381520892810796,,,28,0.007267064624967558
138,506,0.13132623929405657,3316,0.8606280820140151,4,0.0010381520892810796,,,27,0.007007526602647288
139,499,0.1295094731378147,3319,0.8614066960809759,4,0.0010381520892810796,,,31,0.008045678691928368
140,488,0.12665455489229172,3330,0.8642616143264988,4,0.0010381520892810796,,,31,0.008045678691928368
141,473,0.12276148455748767,3341,0.8671165325720218,3,7.786140669608098E-4,1,2.595380223202699E-4,35,0.009083830781209447
142,467,0.12120425642356605,3367,0.8738645211523488,4,0.0010381520892810796,,,15,0.003893070334804049
143,465,0.12068518037892552,3364,0.873085907085388,3,7.786140669608098E-4,1,2.595380223202699E-4,20,0.005190760446405399
144,459,0.11912795224500389,3358,0.8715286789514664,4,0.0010381520892810796,,,32,0.008305216714248637
145,454,0.11783026213340254,3366,0.8736049831300285,4,0.0010381520892810796,,,29,0.007526602647287828
146,442,0.11471580586555931,3382,0.8777575914871528,4,0.0010381520892810796,,,25,0.006488450558006748
147,433,0.11237996366467687,3392,0.8803529717103555,3,7.786140669608098E-4,1,2.595380223202699E-4,24,0.006228912535686478
148,426,0.11056319750843499,3405,0.883726966000519,5,0.0012976901116013497,,,17,0.004412146379444588
149,422,0.10952504541915391,3398,0.8819101998442772,5,0.0012976901116013497,,,28,0.007267064624967558
150,413,0.10718920321827148,3412,0.885543732156761,5,0.0012976901116013497,,,23,0.005969374513366208
151,407,0.10563197508434986,3413,0.8858032701790812,5,0.0012976901116013497,,,28,0.007267064624967558
152,399,0.1035556709057877,3430,0.8902154165585259,5,0.0012976901116013497,,,19,0.004931222424085129
153,397,0.10303659486114716,3423,0.8883986504022839,5,0.0012976901116013497,,,28,0.007267064624967558
154,391,0.10147936672722555,3441,0.8930703348040487,5,0.0012976901116013497,,,16,0.004152608357124318
155,387,0.10044121463794446,3437,0.8920321827147677,5,0.0012976901116013497,,,24,0.006228912535686478
156,380,0.09862444848170257,3451,0.8956657150272515,5,0.0012976901116013497,,,17,0.004412146379444588
157,375,0.09732675837010121,3455,0.8967038671165326,5,0.0012976901116013497,,,18,0.004671684401764859
158,371,0.09628860628082014,3453,0.8961847910718921,5,0.0012976901116013497,,,24,0.006228912535686478
159,366,0.09499091616921879,3463,0.8987801712950947,5,0.0012976901116013497,,,19,0.004931222424085129
160,360,0.09343368803529717,3475,0.9018946275629379,5,0.0012976901116013497,,,13,0.003373994290163509
161,357,0.09265507396833636,3477,0.9024137036075786,3,7.786140669608098E-4,2,5.190760446405398E-4,14,0.003633532312483779
162,348,0.09031923176745393,3482,0.9037113937191799,4,0.0010381520892810796,1,2.595380223202699E-4,18,0.004671684401764859
163,345,0.08954061770049312,3486,0.9047495458084609,5,0.0012976901116013497,,,17,0.004412146379444588
164,341,0.08850246561121204,3485,0.9044900077861406,5,0.0012976901116013497,,,22,0.0057098364910459385
165,334,0.08668569945497015,3498,0.9078640020763041,5,0.0012976901116013497,,,16,0.004152608357124318
166,329,0.0853880093433688,3499,0.9081235400986244,5,0.0012976901116013497,,,20,0.005190760446405399
167,326,0.084609395276408,3509,0.9107189203218271,5,0.0012976901116013497,,,13,0.003373994290163509
168,321,0.08331170516480664,3510,0.9109784583441474,5,0.0012976901116013497,,,17,0.004412146379444588
169,315,0.08175447703088502,3510,0.9109784583441474,5,0.0012976901116013497,,,23,0.005969374513366208
170,310,0.08045678691928368,3520,0.9135738385673501,4,0.0010381520892810796,1,2.595380223202699E-4,18,0.004671684401764859
171,306,0.0794186348300026,3529,0.9159096807682325,4,0.0010381520892810796,1,2.595380223202699E-4,13,0.003373994290163509
172,300,0.07786140669608098,3536,0.9177264469244745,5,0.0012976901116013497,,,12,0.003114456267843239
173,299,0.0776018686737607,3530,0.9161692187905528,3,7.786140669608098E-4,2,5.190760446405398E-4,19,0.004931222424085129
174,290,0.07526602647287828,3546,0.9203218271476772,5,0.0012976901116013497,,,12,0.003114456267843239
175,289,0.075006488450558,3544,0.9198027511030366,3,7.786140669608098E-4,2,5.190760446405398E-4,15,0.003893070334804049
176,286,0.0742278743835972,3550,0.9213599792369582,5,0.0012976901116013497,,,12,0.003114456267843239
177,285,0.07396833636127692,3555,0.9226576693485595,4,0.0010381520892810796,1,2.595380223202699E-4,8,0.002076304178562159
178,285,0.07396833636127692,3548,0.9208409031923177,5,0.0012976901116013497,,,15,0.003893070334804049
179,283,0.07344926031663639,3557,0.9231767453932,5,0.0012976901116013497,,,8,0.002076304178562159
180,281,0.07293018427199585,3552,0.9218790552815987,5,0.0012976901116013497,,,15,0.003893070334804049
181,275,0.07137295613807423,3565,0.9252530495717622,5,0.0012976901116013497,,,8,0.002076304178562159
182,275,0.07137295613807423,3566,0.9255125875940825,4,0.0010381520892810796,1,2.595380223202699E-4,7,0.0018167661562418895
183,272,0.07059434207111341,3565,0.9252530495717622,5,0.0012976901116013497,,,11,0.0028549182455229693
184,270,0.07007526602647288,3564,0.924993511549442,5,0.0012976901116013497,,,14,0.003633532312483779
185,267,0.06929665195951207,3572,0.9270698157280042,5,0.0012976901116013497,,,9,0.0023358422008824295
186,265,0.06877757591487153,3574,0.9275888917726447,5,0.0012976901116013497,,,9,0.0023358422008824295
187,262,0.06799896184791072,3582,0.9296651959512069,5,0.0012976901116013497,,,4,0.0010381520892810796
188,261,0.06773942382559045,3576,0.9281079678172852,5,0.0012976901116013497,,,11,0.0028549182455229693
189,257,0.06670127173630937,3583,0.9299247339735272,5,0.0012976901116013497,,,8,0.002076304178562159
190,254,0.06592265766934856,3580,0.9291461199065663,5,0.0012976901116013497,,,14,0.003633532312483779
191,250,0.06488450558006748,3588,0.9312224240851285,5,0.0012976901116013497,,,10,0.0025953802232026994
192,245,0.06358681546846613,3593,0.9325201141967299,5,0.0012976901116013497,,,10,0.0025953802232026994
193,244,0.06332727744614586,3593,0.9325201141967299,5,0.0012976901116013497,,,11,0.0028549182455229693
194,241,0.06254866337918505,3595,0.9330391902413704,5,0.0012976901116013497,,,12,0.003114456267843239
195,238,0.06177004931222424,3601,0.934596418375292,5,0.0012976901116013497,,,9,0.0023358422008824295
196,236,0.0612509732675837,3605,0.9356345704645731,5,0.0012976901116013497,,,7,0.0018167661562418895
197,234,0.060731897222943164,3602,0.9348559563976122,3,7.786140669608098E-4,2,5.190760446405398E-4,12,0.003114456267843239
198,230,0.05969374513366208,3610,0.9369322605761744,4,0.0010381520892810796,1,2.595380223202699E-4,8,0.002076304178562159
199,229,0.059434207111341814,3607,0.9361536465092136,6,0.0015572281339216196,,,11,0.0028549182455229693
200,226,0.058655593044381005,3614,0.9379704126654554,5,0.0012976901116013497,1,2.595380223202699E-4,7,0.0018167661562418895
201,225,0.05839605502206073,3608,0.9364131845315339,6,0.0015572281339216196,,,14,0.003633532312483779
202,222,0.05761744095509992,3621,0.9397871788216974,6,0.0015572281339216196,,,4,0.0010381520892810796
203,220,0.05709836491045938,3622,0.9400467168440176,6,0.0015572281339216196,,,5,0.0012976901116013497
204,219,0.05683882688813911,3617,0.9387490267324163,5,0.0012976901116013497,1,2.595380223202699E-4,11,0.0028549182455229693
205,216,0.056060212821178304,3623,0.9403062548663379,6,0.0015572281339216196,,,8,0.002076304178562159
206,215,0.05580067479885803,3622,0.9400467168440176,5,0.0012976901116013497,1,2.595380223202699E-4,10,0.0025953802232026994
207,213,0.055281598754217495,3627,0.941344406955619,7,0.0018167661562418895,,,6,0.0015572281339216196
208,210,0.054502984687256686,3623,0.9403062548663379,6,0.0015572281339216196,1,2.595380223202699E-4,13,0.003373994290163509
209,204,0.05294575655333506,3634,0.9431611731118609,8,0.002076304178562159,,,7,0.0018167661562418895
210,204,0.05294575655333506,3636,0.9436802491565014,8,0.002076304178562159,,,5,0.0012976901116013497
211,203,0.052686218531014795,3634,0.9431611731118609,8,0.002076304178562159,,,8,0.002076304178562159
212,201,0.05216714248637425,3637,0.9439397871788217,7,0.0018167661562418895,1,2.595380223202699E-4,7,0.0018167661562418895
213,197,0.05112899039709318,3638,0.9441993252011419,10,0.0025953802232026994,,,8,0.002076304178562159
214,194,0.05035037633013236,3644,0.9457565533350636,10,0.0025953802232026994,,,5,0.0012976901116013497
215,193,0.050090838307812094,3645,0.9460160913573838,10,0.0025953802232026994,,,5,0.0012976901116013497
216,193,0.050090838307812094,3648,0.9467947054243446,8,0.002076304178562159,2,5.190760446405398E-4,2,5.190760446405398E-4
217,193,0.050090838307812094,3641,0.9449779392681028,12,0.003114456267843239,,,7,0.0018167661562418895
218,193,0.050090838307812094,3640,0.9447184012457825,8,0.002076304178562159,4,0.0010381520892810796,8,0.002076304178562159
219,192,0.04983130028549183,3640,0.9447184012457825,13,0.003373994290163509,,,8,0.002076304178562159
220,192,0.04983130028549183,3641,0.9449779392681028,12,0.003114456267843239,1,2.595380223202699E-4,7,0.0018167661562418895
221,190,0.049312224240851285,3642,0.9452374772904231,12,0.003114456267843239,1,2.595380223202699E-4,8,0.002076304178562159
222,189,0.04905268621853102,3644,0.9457565533350636,14,0.003633532312483779,1,2.595380223202699E-4,5,0.0012976901116013497
223,188,0.048793148196210744,3642,0.9452374772904231,13,0.003373994290163509,2,5.190760446405398E-4,8,0.002076304178562159
224,183,0.04749545808460939,3649,0.9470542434466649,15,0.003893070334804049,,,6,0.0015572281339216196
225,180,0.046716844017648584,3654,0.9483519335582663,15,0.003893070334804049,,,4,0.0010381520892810796
226,179,0.04645730599532832,3656,0.9488710096029068,14,0.003633532312483779,1,2.595380223202699E-4,3,7.786140669608098E-4
227,177,0.045938229950687776,3652,0.9478328575136258,11,0.0028549182455229693,4,0.0010381520892810796,9,0.0023358422008824295
228,172,0.044640539839086425,3660,0.9499091616921879,16,0.004152608357124318,,,5,0.0012976901116013497
229,171,0.04438100181676616,3659,0.9496496236698676,16,0.004152608357124318,,,7,0.0018167661562418895
230,170,0.044121463794445884,3662,0.9504282377368285,14,0.003633532312483779,2,5.190760446405398E-4,5,0.0012976901116013497
231,168,0.04360238774980535,3659,0.9496496236698676,18,0.004671684401764859,1,2.595380223202699E-4,7,0.0018167661562418895
232,168,0.04360238774980535,3663,0.9506877757591488,19,0.004931222424085129,,,3,7.786140669608098E-4
233,166,0.04308331170516481,3666,0.9514663898261095,18,0.004671684401764859,1,2.595380223202699E-4,2,5.190760446405398E-4
234,166,0.04308331170516481,3662,0.9504282377368285,16,0.004152608357124318,3,7.786140669608098E-4,6,0.0015572281339216196
235,165,0.04282377368284453,3662,0.9504282377368285,18,0.004671684401764859,1,2.595380223202699E-4,7,0.0018167661562418895
236,163,0.042304697638204,3668,0.9519854658707501,18,0.004671684401764859,1,2.595380223202699E-4,3,7.786140669608098E-4
237,163,0.042304697638204,3668,0.9519854658707501,19,0.004931222424085129,,,3,7.786140669608098E-4
238,162,0.042045159615883725,3670,0.9525045419153906,17,0.004412146379444588,2,5.190760446405398E-4,2,5.190760446405398E-4
239,161,0.04178562159356346,3672,0.9530236179600311,20,0.005190760446405399,,,,
240,161,0.04178562159356346,3663,0.9506877757591488,20,0.005190760446405399,,,9,0.0023358422008824295
241,161,0.04178562159356346,3670,0.9525045419153906,18,0.004671684401764859,2,5.190760446405398E-4,2,5.190760446405398E-4
242,161,0.04178562159356346,3665,0.9512068518037893,18,0.004671684401764859,2,5.190760446405398E-4,7,0.0018167661562418895
243,161,0.04178562159356346,3669,0.9522450038930703,21,0.005450298468725669,,,2,5.190760446405398E-4
244,160,0.04152608357124319,3669,0.9522450038930703,17,0.004412146379444588,4,0.0010381520892810796,3,7.786140669608098E-4
245,160,0.04152608357124319,3669,0.9522450038930703,20,0.005190760446405399,2,5.190760446405398E-4,2,5.190760446405398E-4
246,160,0.04152608357124319,3666,0.9514663898261095,22,0.0057098364910459385,,,5,0.0012976901116013497
247,158,0.04100700752660265,3669,0.9522450038930703,21,0.005450298468725669,1,2.595380223202699E-4,4,0.0010381520892810796
248,156,0.04048793148196211,3670,0.9525045419153906,23,0.005969374513366208,,,4,0.0010381520892810796
249,155,0.04022839345964184,3670,0.9525045419153906,21,0.005450298468725669,2,5.190760446405398E-4,5,0.0012976901116013497
250,155,0.04022839345964184,3671,0.9527640799377108,19,0.004931222424085129,4,0.0010381520892810796,4,0.0010381520892810796
251,154,0.039968855437321565,3671,0.9527640799377108,22,0.0057098364910459385,3,7.786140669608098E-4,3,7.786140669608098E-4
252,153,0.0397093174150013,3665,0.9512068518037893,32,0.008305216714248637,,,3,7.786140669608098E-4
253,152,0.03944977939268103,3668,0.9519854658707501,27,0.007007526602647288,5,0.0012976901116013497,1,2.595380223202699E-4
254,152,0.03944977939268103,3659,0.9496496236698676,37,0.009602906825849987,2,5.190760446405398E-4,3,7.786140669608098E-4
255,152,0.03944977939268103,3660,0.9499091616921879,38,0.009862444848170258,2,5.190760446405398E-4,1,2.595380223202699E-4
