step,information-uninformed_num,information-uninformed_coverage,information-informed_num,information-informed_coverage,information-disinformed_num,information-disinformed_coverage,information-informing_num,information-informing_coverage,information-disinforming_num,information-disinforming_coverage
103,647,0.647,276,0.276,71,0.071,5,0.005,1,0.001
104,640,0.64,276,0.276,74,0.074,10,0.01,,
105,635,0.635,282,0.282,71,0.071,9,0.009,3,0.003
106,631,0.631,290,0.29,75,0.075,3,0.003,1,0.001
107,630,0.63,290,0.29,76,0.076,4,0.004,,
108,629,0.629,285,0.285,73,0.073,10,0.01,3,0.003
109,626,0.626,288,0.288,77,0.077,9,0.009,,
110,619,0.619,296,0.296,74,0.074,8,0.008,3,0.003
111,612,0.612,301,0.301,75,0.075,9,0.009,3,0.003
112,604,0.604,309,0.309,79,0.079,8,0.008,,
113,603,0.603,307,0.307,77,0.077,11,0.011,2,0.002
114,598,0.598,314,0.314,78,0.078,8,0.008,2,0.002
115,597,0.597,318,0.318,79,0.079,5,0.005,1,0.001
116,596,0.596,314,0.314,80,0.08,10,0.01,,
117,596,0.596,322,0.322,79,0.079,2,0.002,1,0.001
118,595,0.595,320,0.32,78,0.078,5,0.005,2,0.002
119,591,0.591,321,0.321,82,0.082,5,0.005,1,0.001
120,589,0.589,319,0.319,83,0.083,9,0.009,,
121,584,0.584,325,0.325,82,0.082,8,0.008,1,0.001
122,584,0.584,327,0.327,83,0.083,6,0.006,,
123,581,0.581,328,0.328,80,0.08,9,0.009,2,0.002
124,577,0.577,329,0.329,81,0.081,11,0.011,2,0.002
125,575,0.575,335,0.335,79,0.079,7,0.007,4,0.004
126,572,0.572,337,0.337,84,0.084,7,0.007,,
127,568,0.568,341,0.341,83,0.083,7,0.007,1,0.001
128,567,0.567,343,0.343,83,0.083,6,0.006,1,0.001
129,560,0.56,349,0.349,83,0.083,7,0.007,1,0.001
130,557,0.557,355,0.355,84,0.084,4,0.004,,
131,552,0.552,357,0.357,83,0.083,7,0.007,1,0.001
132,548,0.548,362,0.362,83,0.083,6,0.006,1,0.001
133,547,0.547,361,0.361,82,0.082,8,0.008,2,0.002
134,542,0.542,366,0.366,84,0.084,6,0.006,2,0.002
135,538,0.538,370,0.37,86,0.086,4,0.004,2,0.002
136,538,0.538,360,0.36,86,0.086,14,0.014,2,0.002
137,537,0.537,372,0.372,87,0.087,3,0.003,1,0.001
138,537,0.537,366,0.366,87,0.087,9,0.009,1,0.001
139,535,0.535,368,0.368,87,0.087,8,0.008,2,0.002
