step,information-uninformed_num,information-uninformed_coverage,information-informed_num,information-informed_coverage,information-disinformed_num,information-disinformed_coverage,information-informing_num,information-informing_coverage,information-disinforming_num,information-disinforming_coverage
457,20,0.02,849,0.849,128,0.128,3,0.003,,
458,20,0.02,852,0.852,128,0.128,,,,
459,20,0.02,849,0.849,128,0.128,3,0.003,,
460,18,0.018,851,0.851,128,0.128,3,0.003,,
461,18,0.018,854,0.854,128,0.128,,,,
462,18,0.018,852,0.852,128,0.128,2,0.002,,
463,17,0.017,853,0.853,128,0.128,2,0.002,,
464,17,0.017,855,0.855,128,0.128,,,,
465,17,0.017,852,0.852,128,0.128,3,0.003,,
466,17,0.017,855,0.855,127,0.127,1,0.001,,
467,17,0.017,854,0.854,127,0.127,2,0.002,,
468,17,0.017,854,0.854,127,0.127,2,0.002,,
469,17,0.017,854,0.854,127,0.127,2,0.002,,
470,17,0.017,854,0.854,127,0.127,2,0.002,,
471,17,0.017,855,0.855,127,0.127,1,0.001,,
472,17,0.017,857,0.857,126,0.126,,,,
473,17,0.017,853,0.853,126,0.126,4,0.004,,
474,17,0.017,853,0.853,126,0.126,4,0.004,,
475,17,0.017,857,0.857,126,0.126,,,,
476,17,0.017,855,0.855,126,0.126,2,0.002,,
477,16,0.016,854,0.854,126,0.126,4,0.004,,
478,16,0.016,858,0.858,126,0.126,,,,
479,16,0.016,853,0.853,126,0.126,5,0.005,,
480,16,0.016,858,0.858,126,0.126,,,,
481,16,0.016,857,0.857,126,0.126,1,0.001,,
482,16,0.016,858,0.858,126,0.126,,,,
483,16,0.016,855,0.855,126,0.126,3,0.003,,
484,16,0.016,859,0.859,125,0.125,,,,
485,16,0.016,856,0.856,125,0.125,3,0.003,,
486,16,0.016,855,0.855,125,0.125,4,0.004,,
487,16,0.016,857,0.857,125,0.125,2,0.002,,
488,15,0.015,859,0.859,125,0.125,1,0.001,,
489,14,0.014,859,0.859,125,0.125,2,0.002,,
490,14,0.014,859,0.859,125,0.125,2,0.002,,
491,14,0.014,859,0.859,125,0.125,2,0.002,,
492,14,0.014,859,0.859,125,0.125,2,0.002,,
493,13,0.013,861,0.861,125,0.125,1,0.001,,
494,13,0.013,861,0.861,125,0.125,1,0.001,,
495,13,0.013,862,0.862,125,0.125,,,,
496,13,0.013,862,0.862,125,0.125,,,,
497,13,0.013,861,0.861,125,0.125,1,0.001,,
498,13,0.013,859,0.859,125,0.125,3,0.003,,
499,13,0.013,863,0.863,124,0.124,,,,
500,13,0.013,862,0.862,124,0.124,1,0.001,,
