step,Sick State Simulation-healthy_num,Sick State Simulation-healthy_coverage,Sick State Simulation-infected_num,Sick State Simulation-infected_coverage,Sick State Simulation-recovered_num,Sick State Simulation-recovered_coverage
1,9978,0.9978,21,0.0021,1,1.0E-4
2,9968,0.9968,31,0.0031,1,1.0E-4
3,9965,0.9965,30,0.003,5,5.0E-4
4,9954,0.9954,39,0.0039,7,7.0E-4
5,9944,0.9944,46,0.0046,10,0.001
6,9932,0.9932,55,0.0055,13,0.0013
7,9910,0.991,75,0.0075,15,0.0015
8,9880,0.988,102,0.0102,18,0.0018
9,9850,0.985,121,0.0121,29,0.0029
10,9815,0.9815,146,0.0146,39,0.0039
11,9781,0.9781,178,0.0178,41,0.0041
12,9732,0.9732,204,0.0204,64,0.0064
13,9683,0.9683,230,0.023,87,0.0087
14,9631,0.9631,258,0.0258,111,0.0111
15,9581,0.9581,286,0.0286,133,0.0133
16,9529,0.9529,328,0.0328,143,0.0143
17,9460,0.946,374,0.0374,166,0.0166
18,9394,0.9394,411,0.0411,195,0.0195
19,9317,0.9317,449,0.0449,234,0.0234
20,9236,0.9236,501,0.0501,263,0.0263
21,9143,0.9143,542,0.0542,315,0.0315
22,9034,0.9034,593,0.0593,373,0.0373
23,8915,0.8915,666,0.0666,419,0.0419
24,8790,0.879,741,0.0741,469,0.0469
25,8676,0.8676,784,0.0784,540,0.054
26,8555,0.8555,850,0.085,595,0.0595
27,8433,0.8433,916,0.0916,651,0.0651
28,8304,0.8304,986,0.0986,710,0.071
29,8150,0.815,1057,0.1057,793,0.0793
30,8021,0.8021,1115,0.1115,864,0.0864
31,7861,0.7861,1179,0.1179,960,0.096
32,7700,0.77,1231,0.1231,1069,0.1069
33,7537,0.7537,1304,0.1304,1159,0.1159
34,7392,0.7392,1361,0.1361,1247,0.1247
35,7248,0.7248,1403,0.1403,1349,0.1349
36,7090,0.709,1461,0.1461,1449,0.1449
37,6945,0.6945,1506,0.1506,1549,0.1549
38,6795,0.6795,1520,0.152,1685,0.1685
39,6652,0.6652,1547,0.1547,1801,0.1801
40,6540,0.654,1546,0.1546,1914,0.1914
41,6434,0.6434,1529,0.1529,2037,0.2037
42,6323,0.6323,1538,0.1538,2139,0.2139
43,6227,0.6227,1529,0.1529,2244,0.2244
44,6122,0.6122,1528,0.1528,2350,0.235
45,6010,0.601,1558,0.1558,2432,0.2432
46,5906,0.5906,1538,0.1538,2556,0.2556
47,5790,0.579,1577,0.1577,2633,0.2633
48,5703,0.5703,1582,0.1582,2715,0.2715
49,5615,0.5615,1562,0.1562,2823,0.2823
50,5528,0.5528,1542,0.1542,2930,0.293
51,5461,0.5461,1506,0.1506,3033,0.3033
52,5397,0.5397,1479,0.1479,3124,0.3124
53,5344,0.5344,1454,0.1454,3202,0.3202
54,5263,0.5263,1477,0.1477,3260,0.326
55,5212,0.5212,1434,0.1434,3354,0.3354
56,5157,0.5157,1409,0.1409,3434,0.3434
57,5105,0.5105,1392,0.1392,3503,0.3503
58,5073,0.5073,1346,0.1346,3581,0.3581
59,5039,0.5039,1334,0.1334,3627,0.3627
60,5004,0.5004,1300,0.13,3696,0.3696
61,4962,0.4962,1267,0.1267,3771,0.3771
62,4933,0.4933,1236,0.1236,3831,0.3831
63,4898,0.4898,1212,0.1212,3890,0.389
64,4873,0.4873,1175,0.1175,3952,0.3952
65,4838,0.4838,1180,0.118,3982,0.3982
66,4809,0.4809,1154,0.1154,4037,0.4037
67,4779,0.4779,1144,0.1144,4077,0.4077
68,4742,0.4742,1122,0.1122,4136,0.4136
69,4703,0.4703,1135,0.1135,4162,0.4162
70,4676,0.4676,1092,0.1092,4232,0.4232
71,4640,0.464,1081,0.1081,4279,0.4279
72,4603,0.4603,1068,0.1068,4329,0.4329
73,4575,0.4575,1048,0.1048,4377,0.4377
74,4539,0.4539,1049,0.1049,4412,0.4412
75,4510,0.451,1034,0.1034,4456,0.4456
76,4476,0.4476,1010,0.101,4514,0.4514
77,4456,0.4456,972,0.0972,4572,0.4572
78,4436,0.4436,936,0.0936,4628,0.4628
79,4407,0.4407,931,0.0931,4662,0.4662
80,4393,0.4393,900,0.09,4707,0.4707
81,4376,0.4376,889,0.0889,4735,0.4735
82,4361,0.4361,858,0.0858,4781,0.4781
83,4345,0.4345,840,0.084,4815,0.4815
84,4323,0.4323,826,0.0826,4851,0.4851
85,4308,0.4308,804,0.0804,4888,0.4888
86,4288,0.4288,806,0.0806,4906,0.4906
87,4266,0.4266,795,0.0795,4939,0.4939
88,4251,0.4251,782,0.0782,4967,0.4967
89,4239,0.4239,760,0.076,5001,0.5001
90,4223,0.4223,743,0.0743,5034,0.5034
91,4207,0.4207,736,0.0736,5057,0.5057
92,4185,0.4185,733,0.0733,5082,0.5082
93,4164,0.4164,730,0.073,5106,0.5106
94,4144,0.4144,704,0.0704,5152,0.5152
95,4129,0.4129,706,0.0706,5165,0.5165
96,4118,0.4118,701,0.0701,5181,0.5181
97,4106,0.4106,683,0.0683,5211,0.5211
98,4087,0.4087,673,0.0673,5240,0.524
99,4076,0.4076,663,0.0663,5261,0.5261
100,4056,0.4056,665,0.0665,5279,0.5279
101,4037,0.4037,656,0.0656,5307,0.5307
102,4018,0.4018,650,0.065,5332,0.5332
103,3999,0.3999,647,0.0647,5354,0.5354
104,3986,0.3986,638,0.0638,5376,0.5376
105,3963,0.3963,615,0.0615,5422,0.5422
106,3945,0.3945,611,0.0611,5444,0.5444
107,3926,0.3926,602,0.0602,5472,0.5472
108,3897,0.3897,590,0.059,5513,0.5513
109,3868,0.3868,590,0.059,5542,0.5542
110,3851,0.3851,582,0.0582,5567,0.5567
111,3833,0.3833,581,0.0581,5586,0.5586
112,3809,0.3809,575,0.0575,5616,0.5616
113,3790,0.379,561,0.0561,5649,0.5649
114,3777,0.3777,550,0.055,5673,0.5673
115,3761,0.3761,538,0.0538,5701,0.5701
116,3746,0.3746,533,0.0533,5721,0.5721
117,3737,0.3737,521,0.0521,5742,0.5742
118,3728,0.3728,502,0.0502,5770,0.577
119,3724,0.3724,483,0.0483,5793,0.5793
120,3718,0.3718,471,0.0471,5811,0.5811
121,3711,0.3711,463,0.0463,5826,0.5826
122,3703,0.3703,452,0.0452,5845,0.5845
123,3698,0.3698,444,0.0444,5858,0.5858
124,3691,0.3691,450,0.045,5859,0.5859
125,3686,0.3686,437,0.0437,5877,0.5877
126,3677,0.3677,428,0.0428,5895,0.5895
127,3668,0.3668,418,0.0418,5914,0.5914
128,3660,0.366,406,0.0406,5934,0.5934
129,3651,0.3651,399,0.0399,5950,0.595
130,3642,0.3642,405,0.0405,5953,0.5953
131,3623,0.3623,400,0.04,5977,0.5977
132,3601,0.3601,404,0.0404,5995,0.5995
133,3592,0.3592,396,0.0396,6012,0.6012
134,3579,0.3579,395,0.0395,6026,0.6026
135,3565,0.3565,410,0.041,6025,0.6025
136,3545,0.3545,416,0.0416,6039,0.6039
137,3520,0.352,427,0.0427,6053,0.6053
138,3492,0.3492,427,0.0427,6081,0.6081
139,3464,0.3464,454,0.0454,6082,0.6082
140,3434,0.3434,476,0.0476,6090,0.609
141,3409,0.3409,473,0.0473,6118,0.6118
142,3394,0.3394,465,0.0465,6141,0.6141
143,3373,0.3373,460,0.046,6167,0.6167
144,3347,0.3347,467,0.0467,6186,0.6186
145,3335,0.3335,456,0.0456,6209,0.6209
146,3317,0.3317,455,0.0455,6228,0.6228
147,3305,0.3305,445,0.0445,6250,0.625
148,3296,0.3296,439,0.0439,6265,0.6265
149,3287,0.3287,418,0.0418,6295,0.6295
150,3281,0.3281,412,0.0412,6307,0.6307
151,3276,0.3276,399,0.0399,6325,0.6325
