step,Sick State Simulation-healthy_num,Sick State Simulation-healthy_coverage,Sick State Simulation-infected_num,Sick State Simulation-infected_coverage,Sick State Simulation-recovered_num,Sick State Simulation-recovered_coverage
1,292,0.9733333333333334,4,0.013333333333333334,4,0.013333333333333334
2,291,0.97,5,0.016666666666666666,4,0.013333333333333334
3,291,0.97,4,0.013333333333333334,5,0.016666666666666666
4,289,0.9633333333333334,6,0.02,5,0.016666666666666666
5,289,0.9633333333333334,4,0.013333333333333334,7,0.023333333333333334
6,288,0.96,4,0.013333333333333334,8,0.02666666666666667
7,286,0.9533333333333334,6,0.02,8,0.02666666666666667
8,283,0.9433333333333334,8,0.02666666666666667,9,0.03
9,279,0.93,11,0.03666666666666667,10,0.03333333333333333
10,277,0.9233333333333333,11,0.03666666666666667,12,0.04
11,276,0.92,10,0.03333333333333333,14,0.04666666666666667
12,270,0.9,17,0.056666666666666664,13,0.043333333333333335
13,267,0.89,20,0.06666666666666667,13,0.043333333333333335
14,265,0.8833333333333333,18,0.06,17,0.056666666666666664
15,258,0.86,23,0.07666666666666666,19,0.06333333333333334
16,251,0.8366666666666667,26,0.08666666666666667,23,0.07666666666666666
17,238,0.7933333333333333,36,0.12,26,0.08666666666666667
18,230,0.7666666666666667,45,0.15,25,0.08333333333333333
19,220,0.7333333333333333,51,0.17,29,0.09666666666666666
20,211,0.7033333333333334,56,0.18666666666666668,33,0.11
21,201,0.67,62,0.20666666666666667,37,0.12333333333333334
22,193,0.6433333333333333,69,0.23,38,0.12666666666666668
23,185,0.6166666666666667,75,0.25,40,0.13333333333333333
24,178,0.5933333333333334,75,0.25,47,0.15666666666666668
25,173,0.5766666666666667,76,0.25333333333333335,51,0.17
26,169,0.5633333333333334,75,0.25,56,0.18666666666666668
27,167,0.5566666666666666,69,0.23,64,0.21333333333333335
28,162,0.54,69,0.23,69,0.23
29,157,0.5233333333333333,70,0.23333333333333334,73,0.24333333333333335
30,156,0.52,70,0.23333333333333334,74,0.24666666666666667
31,155,0.5166666666666667,63,0.21,82,0.2733333333333333
32,153,0.51,57,0.19,90,0.3
33,150,0.5,53,0.17666666666666667,97,0.3233333333333333
34,149,0.49666666666666665,51,0.17,100,0.3333333333333333
35,149,0.49666666666666665,51,0.17,100,0.3333333333333333
36,149,0.49666666666666665,46,0.15333333333333332,105,0.35
37,148,0.49333333333333335,47,0.15666666666666668,105,0.35
38,141,0.47,50,0.16666666666666666,109,0.36333333333333334
39,137,0.45666666666666667,52,0.17333333333333334,111,0.37
40,133,0.44333333333333336,51,0.17,116,0.38666666666666666
41,132,0.44,49,0.16333333333333333,119,0.39666666666666667
42,130,0.43333333333333335,50,0.16666666666666666,120,0.4
43,126,0.42,52,0.17333333333333334,122,0.4066666666666667
44,124,0.41333333333333333,49,0.16333333333333333,127,0.42333333333333334
45,122,0.4066666666666667,49,0.16333333333333333,129,0.43
46,117,0.39,47,0.15666666666666668,136,0.4533333333333333
47,112,0.37333333333333335,50,0.16666666666666666,138,0.46
48,110,0.36666666666666664,46,0.15333333333333332,144,0.48
49,107,0.3566666666666667,46,0.15333333333333332,147,0.49
50,104,0.3466666666666667,47,0.15666666666666668,149,0.49666666666666665
51,99,0.33,52,0.17333333333333334,149,0.49666666666666665
52,94,0.31333333333333335,54,0.18,152,0.5066666666666667
53,92,0.30666666666666664,53,0.17666666666666667,155,0.5166666666666667
54,85,0.2833333333333333,57,0.19,158,0.5266666666666666
55,85,0.2833333333333333,50,0.16666666666666666,165,0.55
56,84,0.28,44,0.14666666666666667,172,0.5733333333333334
57,84,0.28,39,0.13,177,0.59
58,82,0.2733333333333333,37,0.12333333333333334,181,0.6033333333333334
59,81,0.27,40,0.13333333333333333,179,0.5966666666666667
60,80,0.26666666666666666,39,0.13,181,0.6033333333333334
61,80,0.26666666666666666,32,0.10666666666666667,188,0.6266666666666667
62,79,0.2633333333333333,37,0.12333333333333334,184,0.6133333333333333
63,77,0.25666666666666665,37,0.12333333333333334,186,0.62
64,76,0.25333333333333335,37,0.12333333333333334,187,0.6233333333333333
65,76,0.25333333333333335,36,0.12,188,0.6266666666666667
66,74,0.24666666666666667,34,0.11333333333333333,192,0.64
67,74,0.24666666666666667,33,0.11,193,0.6433333333333333
68,72,0.24,32,0.10666666666666667,196,0.6533333333333333
69,71,0.23666666666666666,29,0.09666666666666666,200,0.6666666666666666
70,70,0.23333333333333334,28,0.09333333333333334,202,0.6733333333333333
71,69,0.23,28,0.09333333333333334,203,0.6766666666666666
72,69,0.23,25,0.08333333333333333,206,0.6866666666666666
73,69,0.23,24,0.08,207,0.69
74,68,0.22666666666666666,25,0.08333333333333333,207,0.69
75,67,0.22333333333333333,24,0.08,209,0.6966666666666667
76,67,0.22333333333333333,23,0.07666666666666666,210,0.7
77,67,0.22333333333333333,20,0.06666666666666667,213,0.71
78,65,0.21666666666666667,19,0.06333333333333334,216,0.72
79,65,0.21666666666666667,18,0.06,217,0.7233333333333334
80,65,0.21666666666666667,18,0.06,217,0.7233333333333334
81,65,0.21666666666666667,18,0.06,217,0.7233333333333334
82,65,0.21666666666666667,18,0.06,217,0.7233333333333334
83,65,0.21666666666666667,19,0.06333333333333334,216,0.72
84,65,0.21666666666666667,19,0.06333333333333334,216,0.72
85,65,0.21666666666666667,18,0.06,217,0.7233333333333334
86,65,0.21666666666666667,19,0.06333333333333334,216,0.72
87,65,0.21666666666666667,21,0.07,214,0.7133333333333334
88,65,0.21666666666666667,21,0.07,214,0.7133333333333334
89,62,0.20666666666666667,23,0.07666666666666666,215,0.7166666666666667
90,60,0.2,23,0.07666666666666666,217,0.7233333333333334
91,58,0.19333333333333333,23,0.07666666666666666,219,0.73
92,58,0.19333333333333333,25,0.08333333333333333,217,0.7233333333333334
93,58,0.19333333333333333,24,0.08,218,0.7266666666666667
94,58,0.19333333333333333,24,0.08,218,0.7266666666666667
95,58,0.19333333333333333,23,0.07666666666666666,219,0.73
96,58,0.19333333333333333,19,0.06333333333333334,223,0.7433333333333333
97,58,0.19333333333333333,19,0.06333333333333334,223,0.7433333333333333
98,58,0.19333333333333333,19,0.06333333333333334,223,0.7433333333333333
99,58,0.19333333333333333,17,0.056666666666666664,225,0.75
100,58,0.19333333333333333,17,0.056666666666666664,225,0.75
101,58,0.19333333333333333,17,0.056666666666666664,225,0.75
102,58,0.19333333333333333,16,0.05333333333333334,226,0.7533333333333333
103,58,0.19333333333333333,16,0.05333333333333334,226,0.7533333333333333
104,58,0.19333333333333333,13,0.043333333333333335,229,0.7633333333333333
105,58,0.19333333333333333,13,0.043333333333333335,229,0.7633333333333333
106,58,0.19333333333333333,15,0.05,227,0.7566666666666667
107,58,0.19333333333333333,17,0.056666666666666664,225,0.75
108,58,0.19333333333333333,16,0.05333333333333334,226,0.7533333333333333
109,58,0.19333333333333333,14,0.04666666666666667,228,0.76
110,58,0.19333333333333333,13,0.043333333333333335,229,0.7633333333333333
111,58,0.19333333333333333,13,0.043333333333333335,229,0.7633333333333333
112,58,0.19333333333333333,15,0.05,227,0.7566666666666667
113,58,0.19333333333333333,15,0.05,227,0.7566666666666667
114,58,0.19333333333333333,16,0.05333333333333334,226,0.7533333333333333
115,58,0.19333333333333333,14,0.04666666666666667,228,0.76
116,58,0.19333333333333333,15,0.05,227,0.7566666666666667
117,58,0.19333333333333333,13,0.043333333333333335,229,0.7633333333333333
118,58,0.19333333333333333,13,0.043333333333333335,229,0.7633333333333333
119,58,0.19333333333333333,12,0.04,230,0.7666666666666667
120,58,0.19333333333333333,13,0.043333333333333335,229,0.7633333333333333
121,58,0.19333333333333333,14,0.04666666666666667,228,0.76
122,58,0.19333333333333333,15,0.05,227,0.7566666666666667
123,57,0.19,15,0.05,228,0.76
124,55,0.18333333333333332,17,0.056666666666666664,228,0.76
125,54,0.18,16,0.05333333333333334,230,0.7666666666666667
126,52,0.17333333333333334,19,0.06333333333333334,229,0.7633333333333333
127,52,0.17333333333333334,18,0.06,230,0.7666666666666667
128,51,0.17,18,0.06,231,0.77
129,51,0.17,20,0.06666666666666667,229,0.7633333333333333
130,51,0.17,18,0.06,231,0.77
131,51,0.17,16,0.05333333333333334,233,0.7766666666666666
132,51,0.17,16,0.05333333333333334,233,0.7766666666666666
133,51,0.17,15,0.05,234,0.78
134,51,0.17,18,0.06,231,0.77
135,50,0.16666666666666666,18,0.06,232,0.7733333333333333
136,50,0.16666666666666666,16,0.05333333333333334,234,0.78
137,50,0.16666666666666666,17,0.056666666666666664,233,0.7766666666666666
138,50,0.16666666666666666,16,0.05333333333333334,234,0.78
139,50,0.16666666666666666,16,0.05333333333333334,234,0.78
140,50,0.16666666666666666,15,0.05,235,0.7833333333333333
141,49,0.16333333333333333,16,0.05333333333333334,235,0.7833333333333333
142,49,0.16333333333333333,20,0.06666666666666667,231,0.77
143,49,0.16333333333333333,18,0.06,233,0.7766666666666666
144,49,0.16333333333333333,18,0.06,233,0.7766666666666666
145,49,0.16333333333333333,18,0.06,233,0.7766666666666666
146,49,0.16333333333333333,17,0.056666666666666664,234,0.78
147,49,0.16333333333333333,18,0.06,233,0.7766666666666666
148,49,0.16333333333333333,17,0.056666666666666664,234,0.78
149,49,0.16333333333333333,16,0.05333333333333334,235,0.7833333333333333
150,49,0.16333333333333333,14,0.04666666666666667,237,0.79
151,49,0.16333333333333333,14,0.04666666666666667,237,0.79
152,49,0.16333333333333333,14,0.04666666666666667,237,0.79
153,49,0.16333333333333333,15,0.05,236,0.7866666666666666
154,49,0.16333333333333333,13,0.043333333333333335,238,0.7933333333333333
155,49,0.16333333333333333,12,0.04,239,0.7966666666666666
156,49,0.16333333333333333,12,0.04,239,0.7966666666666666
157,49,0.16333333333333333,12,0.04,239,0.7966666666666666
158,49,0.16333333333333333,14,0.04666666666666667,237,0.79
159,49,0.16333333333333333,16,0.05333333333333334,235,0.7833333333333333
160,49,0.16333333333333333,17,0.056666666666666664,234,0.78
161,49,0.16333333333333333,19,0.06333333333333334,232,0.7733333333333333
162,49,0.16333333333333333,19,0.06333333333333334,232,0.7733333333333333
163,49,0.16333333333333333,19,0.06333333333333334,232,0.7733333333333333
164,49,0.16333333333333333,18,0.06,233,0.7766666666666666
165,49,0.16333333333333333,17,0.056666666666666664,234,0.78
166,49,0.16333333333333333,17,0.056666666666666664,234,0.78
167,49,0.16333333333333333,16,0.05333333333333334,235,0.7833333333333333
168,49,0.16333333333333333,15,0.05,236,0.7866666666666666
169,49,0.16333333333333333,14,0.04666666666666667,237,0.79
170,49,0.16333333333333333,10,0.03333333333333333,241,0.8033333333333333
171,49,0.16333333333333333,10,0.03333333333333333,241,0.8033333333333333
172,49,0.16333333333333333,9,0.03,242,0.8066666666666666
