step,Sick State Simulation-healthy_num,Sick State Simulation-healthy_coverage,Sick State Simulation-infected_num,Sick State Simulation-infected_coverage,Sick State Simulation-recovered_num,Sick State Simulation-recovered_coverage
1,493,0.986,6,0.012,1,0.002
2,490,0.98,9,0.018,1,0.002
3,486,0.972,13,0.026,1,0.002
4,484,0.968,13,0.026,3,0.006
5,478,0.956,16,0.032,6,0.012
6,473,0.946,20,0.04,7,0.014
7,465,0.93,24,0.048,11,0.022
8,456,0.912,31,0.062,13,0.026
9,452,0.904,34,0.068,14,0.028
10,441,0.882,43,0.086,16,0.032
11,432,0.864,48,0.096,20,0.04
12,419,0.838,55,0.11,26,0.052
13,396,0.792,71,0.142,33,0.066
14,384,0.768,77,0.154,39,0.078
15,372,0.744,84,0.168,44,0.088
16,357,0.714,98,0.196,45,0.09
17,348,0.696,101,0.202,51,0.102
18,338,0.676,102,0.204,60,0.12
19,323,0.646,110,0.22,67,0.134
20,320,0.64,106,0.212,74,0.148
21,314,0.628,105,0.21,81,0.162
22,307,0.614,103,0.206,90,0.18
23,301,0.602,104,0.208,95,0.19
24,298,0.596,103,0.206,99,0.198
25,290,0.58,101,0.202,109,0.218
26,283,0.566,98,0.196,119,0.238
27,279,0.558,102,0.204,119,0.238
28,271,0.542,99,0.198,130,0.26
29,265,0.53,91,0.182,144,0.288
30,258,0.516,91,0.182,151,0.302
31,253,0.506,94,0.188,153,0.306
32,248,0.496,93,0.186,159,0.318
33,246,0.492,93,0.186,161,0.322
34,243,0.486,88,0.176,169,0.338
35,243,0.486,86,0.172,171,0.342
36,241,0.482,85,0.17,174,0.348
37,239,0.478,83,0.166,178,0.356
38,236,0.472,87,0.174,177,0.354
39,233,0.466,88,0.176,179,0.358
40,229,0.458,89,0.178,182,0.364
41,225,0.45,84,0.168,191,0.382
42,221,0.442,81,0.162,198,0.396
43,218,0.436,78,0.156,204,0.408
44,214,0.428,79,0.158,207,0.414
45,211,0.422,81,0.162,208,0.416
46,210,0.42,82,0.164,208,0.416
47,209,0.418,83,0.166,208,0.416
48,205,0.41,82,0.164,213,0.426
49,203,0.406,82,0.164,215,0.43
50,201,0.402,80,0.16,219,0.438
51,201,0.402,81,0.162,218,0.436
52,201,0.402,81,0.162,218,0.436
53,200,0.4,86,0.172,214,0.428
54,200,0.4,80,0.16,220,0.44
55,198,0.396,81,0.162,221,0.442
56,195,0.39,78,0.156,227,0.454
57,189,0.378,79,0.158,232,0.464
58,187,0.374,77,0.154,236,0.472
59,186,0.372,78,0.156,236,0.472
60,183,0.366,69,0.138,248,0.496
61,181,0.362,71,0.142,248,0.496
62,179,0.358,67,0.134,254,0.508
63,177,0.354,61,0.122,262,0.524
64,175,0.35,57,0.114,268,0.536
65,175,0.35,56,0.112,269,0.538
66,174,0.348,50,0.1,276,0.552
67,174,0.348,54,0.108,272,0.544
68,172,0.344,51,0.102,277,0.554
69,172,0.344,53,0.106,275,0.55
70,171,0.342,50,0.1,279,0.558
71,170,0.34,47,0.094,283,0.566
72,169,0.338,49,0.098,282,0.564
73,168,0.336,46,0.092,286,0.572
74,166,0.332,48,0.096,286,0.572
75,165,0.33,48,0.096,287,0.574
76,165,0.33,46,0.092,289,0.578
77,165,0.33,39,0.078,296,0.592
78,165,0.33,38,0.076,297,0.594
79,165,0.33,38,0.076,297,0.594
80,165,0.33,35,0.07,300,0.6
81,164,0.328,34,0.068,302,0.604
82,164,0.328,32,0.064,304,0.608
83,164,0.328,26,0.052,310,0.62
84,164,0.328,27,0.054,309,0.618
85,164,0.328,26,0.052,310,0.62
86,164,0.328,26,0.052,310,0.62
87,164,0.328,27,0.054,309,0.618
88,164,0.328,26,0.052,310,0.62
89,164,0.328,25,0.05,311,0.622
90,164,0.328,25,0.05,311,0.622
91,164,0.328,26,0.052,310,0.62
92,164,0.328,21,0.042,315,0.63
93,164,0.328,22,0.044,314,0.628
