step,person-uninformed_num,person-uninformed_coverage,person-disinformed_num,person-disinformed_coverage,informator-not-informing_num,informator-not-informing_coverage,disinformator-disinforming_num,disinformator-disinforming_coverage,informator-informing_num,informator-informing_coverage,person-informed_num,person-informed_coverage
1,495,0.9939759036144579,3,0.006024096385542169,1,1.0,1,1.0,,,,
2,494,0.9919678714859438,4,0.008032128514056224,1,1.0,1,1.0,,,,
3,492,0.9879518072289156,6,0.012048192771084338,1,1.0,1,1.0,,,,
4,491,0.9859437751004017,7,0.014056224899598393,1,1.0,1,1.0,,,,
5,490,0.9839357429718876,8,0.01606425702811245,,,1,1.0,1,1.0,,
6,485,0.9738955823293173,8,0.01606425702811245,,,1,1.0,1,1.0,5,0.010040160642570281
7,480,0.963855421686747,8,0.01606425702811245,,,1,1.0,1,1.0,10,0.020080321285140562
8,476,0.9558232931726908,10,0.020080321285140562,,,1,1.0,1,1.0,12,0.024096385542168676
9,471,0.9457831325301205,11,0.02208835341365462,,,1,1.0,1,1.0,16,0.0321285140562249
10,469,0.9417670682730924,12,0.024096385542168676,,,1,1.0,1,1.0,17,0.03413654618473896
11,467,0.9377510040160643,13,0.02610441767068273,,,1,1.0,1,1.0,18,0.03614457831325301
12,463,0.929718875502008,13,0.02610441767068273,,,1,1.0,1,1.0,22,0.04417670682730924
13,457,0.9176706827309237,15,0.030120481927710843,,,1,1.0,1,1.0,26,0.05220883534136546
14,455,0.9136546184738956,15,0.030120481927710843,,,1,1.0,1,1.0,28,0.05622489959839357
15,448,0.8995983935742972,17,0.03413654618473896,,,1,1.0,1,1.0,33,0.06626506024096386
16,445,0.893574297188755,17,0.03413654618473896,,,1,1.0,1,1.0,36,0.07228915662650602
17,442,0.8875502008032129,18,0.03614457831325301,,,1,1.0,1,1.0,38,0.07630522088353414
18,440,0.8835341365461847,18,0.03614457831325301,,,1,1.0,1,1.0,40,0.08032128514056225
19,437,0.8775100401606426,18,0.03614457831325301,,,1,1.0,1,1.0,43,0.08634538152610442
20,432,0.8674698795180723,18,0.03614457831325301,,,1,1.0,1,1.0,48,0.0963855421686747
21,425,0.8534136546184738,19,0.03815261044176707,,,1,1.0,1,1.0,54,0.10843373493975904
22,418,0.8393574297188755,21,0.04216867469879518,,,1,1.0,1,1.0,59,0.11847389558232932
23,416,0.8353413654618473,23,0.04618473895582329,,,1,1.0,1,1.0,59,0.11847389558232932
24,407,0.8172690763052208,26,0.05220883534136546,,,1,1.0,1,1.0,65,0.13052208835341367
25,403,0.8092369477911646,26,0.05220883534136546,,,1,1.0,1,1.0,69,0.13855421686746988
26,399,0.8012048192771084,30,0.060240963855421686,,,1,1.0,1,1.0,69,0.13855421686746988
27,394,0.7911646586345381,30,0.060240963855421686,,,1,1.0,1,1.0,74,0.14859437751004015
28,390,0.7831325301204819,30,0.060240963855421686,,,1,1.0,1,1.0,78,0.1566265060240964
29,384,0.7710843373493976,31,0.06224899598393574,,,1,1.0,1,1.0,83,0.16666666666666666
30,379,0.7610441767068273,32,0.0642570281124498,,,1,1.0,1,1.0,87,0.1746987951807229
31,376,0.7550200803212851,32,0.0642570281124498,,,1,1.0,1,1.0,90,0.18072289156626506
32,368,0.7389558232931727,33,0.06626506024096386,,,1,1.0,1,1.0,97,0.19477911646586346
33,364,0.7309236947791165,33,0.06626506024096386,,,1,1.0,1,1.0,101,0.20281124497991967
34,359,0.7208835341365462,35,0.07028112449799197,,,1,1.0,1,1.0,104,0.20883534136546184
35,354,0.7108433734939759,35,0.07028112449799197,,,1,1.0,1,1.0,109,0.21887550200803213
36,351,0.7048192771084337,35,0.07028112449799197,,,1,1.0,1,1.0,112,0.2248995983935743
37,347,0.6967871485943775,35,0.07028112449799197,,,1,1.0,1,1.0,116,0.23293172690763053
38,342,0.6867469879518072,35,0.07028112449799197,,,1,1.0,1,1.0,121,0.2429718875502008
39,339,0.6807228915662651,35,0.07028112449799197,,,1,1.0,1,1.0,124,0.24899598393574296
40,337,0.6767068273092369,35,0.07028112449799197,,,1,1.0,1,1.0,126,0.25301204819277107
41,330,0.6626506024096386,34,0.06827309236947791,,,1,1.0,1,1.0,134,0.26907630522088355
42,326,0.6546184738955824,35,0.07028112449799197,,,1,1.0,1,1.0,137,0.2751004016064257
43,322,0.6465863453815262,35,0.07028112449799197,,,1,1.0,1,1.0,141,0.28313253012048195
44,315,0.6325301204819277,36,0.07228915662650602,,,1,1.0,1,1.0,147,0.29518072289156627
45,307,0.6164658634538153,36,0.07228915662650602,,,1,1.0,1,1.0,155,0.3112449799196787
46,300,0.6024096385542169,36,0.07228915662650602,,,1,1.0,1,1.0,162,0.3253012048192771
47,296,0.5943775100401606,37,0.07429718875502007,,,1,1.0,1,1.0,165,0.3313253012048193
48,291,0.5843373493975904,36,0.07228915662650602,,,1,1.0,1,1.0,171,0.3433734939759036
49,287,0.5763052208835341,36,0.07228915662650602,,,1,1.0,1,1.0,175,0.3514056224899598
50,280,0.5622489959839357,35,0.07028112449799197,,,1,1.0,1,1.0,183,0.3674698795180723
51,274,0.5502008032128514,35,0.07028112449799197,,,1,1.0,1,1.0,189,0.3795180722891566
52,264,0.5301204819277109,35,0.07028112449799197,,,1,1.0,1,1.0,199,0.39959839357429716
53,261,0.5240963855421686,37,0.07429718875502007,,,1,1.0,1,1.0,200,0.40160642570281124
54,253,0.5080321285140562,36,0.07228915662650602,,,1,1.0,1,1.0,209,0.41967871485943775
55,244,0.4899598393574297,37,0.07429718875502007,,,1,1.0,1,1.0,217,0.4357429718875502
56,241,0.4839357429718876,38,0.07630522088353414,,,1,1.0,1,1.0,219,0.4397590361445783
57,235,0.4718875502008032,39,0.0783132530120482,,,1,1.0,1,1.0,224,0.4497991967871486
58,229,0.4598393574297189,40,0.08032128514056225,,,1,1.0,1,1.0,229,0.4598393574297189
59,221,0.44377510040160645,41,0.0823293172690763,,,1,1.0,1,1.0,236,0.4738955823293173
60,210,0.42168674698795183,41,0.0823293172690763,,,1,1.0,1,1.0,247,0.4959839357429719
61,205,0.41164658634538154,41,0.0823293172690763,,,1,1.0,1,1.0,252,0.5060240963855421
62,201,0.4036144578313253,42,0.08433734939759036,,,1,1.0,1,1.0,255,0.5120481927710844
63,194,0.3895582329317269,43,0.08634538152610442,,,1,1.0,1,1.0,261,0.5240963855421686
64,190,0.3815261044176707,43,0.08634538152610442,,,1,1.0,1,1.0,265,0.5321285140562249
65,186,0.37349397590361444,43,0.08634538152610442,,,1,1.0,1,1.0,269,0.5401606425702812
66,184,0.36947791164658633,43,0.08634538152610442,,,1,1.0,1,1.0,271,0.5441767068273092
67,180,0.3614457831325301,43,0.08634538152610442,,,1,1.0,1,1.0,275,0.5522088353413654
68,174,0.3493975903614458,43,0.08634538152610442,,,1,1.0,1,1.0,281,0.5642570281124498
69,168,0.3373493975903614,43,0.08634538152610442,,,1,1.0,1,1.0,287,0.5763052208835341
70,165,0.3313253012048193,43,0.08634538152610442,,,1,1.0,1,1.0,290,0.5823293172690763
71,161,0.3232931726907631,43,0.08634538152610442,,,1,1.0,1,1.0,294,0.5903614457831325
72,154,0.3092369477911647,43,0.08634538152610442,,,1,1.0,1,1.0,301,0.6044176706827309
73,150,0.30120481927710846,43,0.08634538152610442,,,1,1.0,1,1.0,305,0.6124497991967871
74,144,0.2891566265060241,43,0.08634538152610442,,,1,1.0,1,1.0,311,0.6244979919678715
75,140,0.28112449799196787,43,0.08634538152610442,,,1,1.0,1,1.0,315,0.6325301204819277
76,135,0.2710843373493976,43,0.08634538152610442,,,1,1.0,1,1.0,320,0.642570281124498
77,133,0.26706827309236947,42,0.08433734939759036,,,1,1.0,1,1.0,323,0.6485943775100401
78,129,0.25903614457831325,42,0.08433734939759036,,,1,1.0,1,1.0,327,0.6566265060240963
79,124,0.24899598393574296,42,0.08433734939759036,,,1,1.0,1,1.0,332,0.6666666666666666
80,118,0.23694779116465864,43,0.08634538152610442,,,1,1.0,1,1.0,337,0.6767068273092369
81,114,0.2289156626506024,43,0.08634538152610442,,,1,1.0,1,1.0,341,0.6847389558232931
82,108,0.21686746987951808,44,0.08835341365461848,,,1,1.0,1,1.0,346,0.6947791164658634
83,101,0.20281124497991967,44,0.08835341365461848,,,1,1.0,1,1.0,353,0.7088353413654619
84,97,0.19477911646586346,44,0.08835341365461848,,,1,1.0,1,1.0,357,0.7168674698795181
85,91,0.1827309236947791,45,0.09036144578313253,,,1,1.0,1,1.0,362,0.7269076305220884
86,87,0.1746987951807229,44,0.08835341365461848,,,1,1.0,1,1.0,367,0.7369477911646586
87,84,0.1686746987951807,44,0.08835341365461848,,,1,1.0,1,1.0,370,0.7429718875502008
88,80,0.1606425702811245,45,0.09036144578313253,,,1,1.0,1,1.0,373,0.748995983935743
89,78,0.1566265060240964,45,0.09036144578313253,,,1,1.0,1,1.0,375,0.7530120481927711
90,73,0.1465863453815261,45,0.09036144578313253,,,1,1.0,1,1.0,380,0.7630522088353414
91,72,0.14457831325301204,45,0.09036144578313253,,,1,1.0,1,1.0,381,0.7650602409638554
92,68,0.13654618473895583,45,0.09036144578313253,,,1,1.0,1,1.0,385,0.7730923694779116
93,63,0.12650602409638553,44,0.08835341365461848,,,1,1.0,1,1.0,391,0.785140562248996
94,57,0.1144578313253012,43,0.08634538152610442,,,1,1.0,1,1.0,398,0.7991967871485943
95,54,0.10843373493975904,44,0.08835341365461848,,,1,1.0,1,1.0,400,0.8032128514056225
96,54,0.10843373493975904,44,0.08835341365461848,,,1,1.0,1,1.0,400,0.8032128514056225
97,49,0.09839357429718876,44,0.08835341365461848,,,1,1.0,1,1.0,405,0.8132530120481928
98,47,0.09437751004016064,43,0.08634538152610442,,,1,1.0,1,1.0,408,0.8192771084337349
99,46,0.09236947791164658,44,0.08835341365461848,,,1,1.0,1,1.0,408,0.8192771084337349
100,44,0.08835341365461848,43,0.08634538152610442,,,1,1.0,1,1.0,411,0.8253012048192772
101,43,0.08634538152610442,42,0.08433734939759036,,,1,1.0,1,1.0,413,0.8293172690763052
102,42,0.08433734939759036,42,0.08433734939759036,,,1,1.0,1,1.0,414,0.8313253012048193
103,40,0.08032128514056225,43,0.08634538152610442,,,1,1.0,1,1.0,415,0.8333333333333334
104,36,0.07228915662650602,43,0.08634538152610442,,,1,1.0,1,1.0,419,0.8413654618473896
105,34,0.06827309236947791,42,0.08433734939759036,,,1,1.0,1,1.0,422,0.8473895582329317
106,34,0.06827309236947791,42,0.08433734939759036,,,1,1.0,1,1.0,422,0.8473895582329317
107,32,0.0642570281124498,42,0.08433734939759036,,,1,1.0,1,1.0,424,0.8514056224899599
108,31,0.06224899598393574,42,0.08433734939759036,,,1,1.0,1,1.0,425,0.8534136546184738
109,30,0.060240963855421686,42,0.08433734939759036,,,1,1.0,1,1.0,426,0.8554216867469879
110,27,0.05421686746987952,42,0.08433734939759036,,,1,1.0,1,1.0,429,0.8614457831325302
111,24,0.04819277108433735,41,0.0823293172690763,,,1,1.0,1,1.0,433,0.8694779116465864
112,24,0.04819277108433735,40,0.08032128514056225,,,1,1.0,1,1.0,434,0.8714859437751004
113,22,0.04417670682730924,40,0.08032128514056225,,,1,1.0,1,1.0,436,0.8755020080321285
114,22,0.04417670682730924,39,0.0783132530120482,,,1,1.0,1,1.0,437,0.8775100401606426
115,22,0.04417670682730924,38,0.07630522088353414,,,1,1.0,1,1.0,438,0.8795180722891566
116,21,0.04216867469879518,39,0.0783132530120482,,,1,1.0,1,1.0,438,0.8795180722891566
117,20,0.040160642570281124,39,0.0783132530120482,,,1,1.0,1,1.0,439,0.8815261044176707
118,20,0.040160642570281124,40,0.08032128514056225,,,1,1.0,1,1.0,438,0.8795180722891566
119,14,0.028112449799196786,39,0.0783132530120482,,,1,1.0,1,1.0,445,0.893574297188755
120,14,0.028112449799196786,40,0.08032128514056225,,,1,1.0,1,1.0,444,0.891566265060241
121,14,0.028112449799196786,41,0.0823293172690763,,,1,1.0,1,1.0,443,0.8895582329317269
