step,Sick State Simulation-healthy_num,Sick State Simulation-healthy_coverage,Sick State Simulation-recovered_num,Sick State Simulation-recovered_coverage,Sick State Simulation-infected_num,Sick State Simulation-infected_coverage
946,214,0.214,786,0.786,,
947,214,0.214,786,0.786,,
948,214,0.214,786,0.786,,
949,214,0.214,786,0.786,,
950,214,0.214,786,0.786,,
951,214,0.214,786,0.786,,
952,214,0.214,786,0.786,,
953,214,0.214,786,0.786,,
954,214,0.214,786,0.786,,
955,214,0.214,786,0.786,,
956,214,0.214,786,0.786,,
957,214,0.214,786,0.786,,
958,214,0.214,786,0.786,,
959,214,0.214,786,0.786,,
960,214,0.214,786,0.786,,
961,214,0.214,786,0.786,,
962,214,0.214,786,0.786,,
963,214,0.214,786,0.786,,
964,214,0.214,786,0.786,,
965,214,0.214,786,0.786,,
966,214,0.214,786,0.786,,
967,214,0.214,786,0.786,,
968,214,0.214,786,0.786,,
969,214,0.214,786,0.786,,
970,214,0.214,786,0.786,,
971,214,0.214,786,0.786,,
972,214,0.214,786,0.786,,
973,214,0.214,786,0.786,,
974,214,0.214,786,0.786,,
975,214,0.214,786,0.786,,
976,214,0.214,786,0.786,,
977,214,0.214,786,0.786,,
978,214,0.214,786,0.786,,
979,214,0.214,786,0.786,,
980,214,0.214,786,0.786,,
981,214,0.214,786,0.786,,
982,214,0.214,786,0.786,,
983,214,0.214,786,0.786,,
984,214,0.214,786,0.786,,
985,214,0.214,786,0.786,,
986,214,0.214,786,0.786,,
987,214,0.214,786,0.786,,
988,214,0.214,786,0.786,,
989,214,0.214,786,0.786,,
990,214,0.214,786,0.786,,
991,214,0.214,786,0.786,,
992,214,0.214,786,0.786,,
993,214,0.214,786,0.786,,
994,214,0.214,786,0.786,,
995,214,0.214,786,0.786,,
996,214,0.214,786,0.786,,
997,214,0.214,786,0.786,,
998,214,0.214,786,0.786,,
999,214,0.214,786,0.786,,
1000,214,0.214,786,0.786,,
