step,Sick State Simulation-healthy_num,Sick State Simulation-healthy_coverage,Sick State Simulation-infected_num,Sick State Simulation-infected_coverage,Sick State Simulation-recovered_num,Sick State Simulation-recovered_coverage
1,4982,0.9964,17,0.0034,1,2.0E-4
2,4975,0.995,22,0.0044,3,6.0E-4
3,4967,0.9934,26,0.0052,7,0.0014
4,4959,0.9918,32,0.0064,9,0.0018
5,4952,0.9904,36,0.0072,12,0.0024
6,4947,0.9894,36,0.0072,17,0.0034
7,4934,0.9868,43,0.0086,23,0.0046
8,4924,0.9848,51,0.0102,25,0.005
9,4913,0.9826,57,0.0114,30,0.006
10,4908,0.9816,56,0.0112,36,0.0072
11,4897,0.9794,60,0.012,43,0.0086
12,4887,0.9774,63,0.0126,50,0.01
13,4877,0.9754,68,0.0136,55,0.011
14,4870,0.974,70,0.014,60,0.012
15,4862,0.9724,71,0.0142,67,0.0134
16,4853,0.9706,77,0.0154,70,0.014
17,4836,0.9672,92,0.0184,72,0.0144
18,4825,0.965,96,0.0192,79,0.0158
19,4809,0.9618,107,0.0214,84,0.0168
20,4785,0.957,121,0.0242,94,0.0188
21,4772,0.9544,124,0.0248,104,0.0208
22,4756,0.9512,129,0.0258,115,0.023
23,4736,0.9472,139,0.0278,125,0.025
24,4711,0.9422,154,0.0308,135,0.027
25,4690,0.938,159,0.0318,151,0.0302
26,4658,0.9316,178,0.0356,164,0.0328
27,4620,0.924,209,0.0418,171,0.0342
28,4584,0.9168,229,0.0458,187,0.0374
29,4543,0.9086,244,0.0488,213,0.0426
30,4494,0.8988,267,0.0534,239,0.0478
31,4457,0.8914,282,0.0564,261,0.0522
32,4402,0.8804,307,0.0614,291,0.0582
33,4360,0.872,336,0.0672,304,0.0608
34,4301,0.8602,363,0.0726,336,0.0672
35,4235,0.847,403,0.0806,362,0.0724
36,4178,0.8356,429,0.0858,393,0.0786
37,4117,0.8234,451,0.0902,432,0.0864
38,4052,0.8104,487,0.0974,461,0.0922
39,3992,0.7984,521,0.1042,487,0.0974
40,3926,0.7852,543,0.1086,531,0.1062
41,3856,0.7712,583,0.1166,561,0.1122
42,3784,0.7568,621,0.1242,595,0.119
43,3715,0.743,637,0.1274,648,0.1296
44,3643,0.7286,664,0.1328,693,0.1386
45,3574,0.7148,681,0.1362,745,0.149
46,3502,0.7004,698,0.1396,800,0.16
47,3442,0.6884,728,0.1456,830,0.166
48,3386,0.6772,735,0.147,879,0.1758
49,3314,0.6628,759,0.1518,927,0.1854
50,3242,0.6484,777,0.1554,981,0.1962
51,3185,0.637,768,0.1536,1047,0.2094
52,3128,0.6256,771,0.1542,1101,0.2202
53,3074,0.6148,784,0.1568,1142,0.2284
54,3021,0.6042,797,0.1594,1182,0.2364
55,2974,0.5948,790,0.158,1236,0.2472
56,2926,0.5852,780,0.156,1294,0.2588
57,2878,0.5756,776,0.1552,1346,0.2692
58,2837,0.5674,769,0.1538,1394,0.2788
59,2803,0.5606,755,0.151,1442,0.2884
60,2772,0.5544,745,0.149,1483,0.2966
61,2744,0.5488,730,0.146,1526,0.3052
62,2706,0.5412,710,0.142,1584,0.3168
63,2677,0.5354,690,0.138,1633,0.3266
64,2647,0.5294,689,0.1378,1664,0.3328
65,2612,0.5224,692,0.1384,1696,0.3392
66,2585,0.517,670,0.134,1745,0.349
67,2551,0.5102,662,0.1324,1787,0.3574
68,2524,0.5048,655,0.131,1821,0.3642
69,2497,0.4994,630,0.126,1873,0.3746
70,2475,0.495,607,0.1214,1918,0.3836
71,2446,0.4892,626,0.1252,1928,0.3856
72,2418,0.4836,618,0.1236,1964,0.3928
73,2383,0.4766,625,0.125,1992,0.3984
74,2359,0.4718,603,0.1206,2038,0.4076
75,2324,0.4648,587,0.1174,2089,0.4178
76,2298,0.4596,582,0.1164,2120,0.424
77,2271,0.4542,585,0.117,2144,0.4288
78,2242,0.4484,600,0.12,2158,0.4316
79,2203,0.4406,611,0.1222,2186,0.4372
80,2172,0.4344,598,0.1196,2230,0.446
81,2144,0.4288,608,0.1216,2248,0.4496
82,2115,0.423,599,0.1198,2286,0.4572
83,2086,0.4172,596,0.1192,2318,0.4636
84,2058,0.4116,601,0.1202,2341,0.4682
85,2021,0.4042,596,0.1192,2383,0.4766
86,1993,0.3986,596,0.1192,2411,0.4822
87,1965,0.393,591,0.1182,2444,0.4888
88,1929,0.3858,593,0.1186,2478,0.4956
89,1902,0.3804,574,0.1148,2524,0.5048
90,1872,0.3744,563,0.1126,2565,0.513
91,1858,0.3716,538,0.1076,2604,0.5208
92,1836,0.3672,543,0.1086,2621,0.5242
93,1809,0.3618,531,0.1062,2660,0.532
94,1793,0.3586,539,0.1078,2668,0.5336
95,1779,0.3558,537,0.1074,2684,0.5368
96,1765,0.353,530,0.106,2705,0.541
97,1754,0.3508,521,0.1042,2725,0.545
98,1739,0.3478,519,0.1038,2742,0.5484
99,1724,0.3448,515,0.103,2761,0.5522
100,1702,0.3404,526,0.1052,2772,0.5544
101,1683,0.3366,529,0.1058,2788,0.5576
102,1658,0.3316,533,0.1066,2809,0.5618
103,1629,0.3258,533,0.1066,2838,0.5676
104,1602,0.3204,528,0.1056,2870,0.574
105,1584,0.3168,513,0.1026,2903,0.5806
106,1563,0.3126,496,0.0992,2941,0.5882
107,1539,0.3078,496,0.0992,2965,0.593
108,1523,0.3046,479,0.0958,2998,0.5996
109,1502,0.3004,480,0.096,3018,0.6036
110,1490,0.298,460,0.092,3050,0.61
111,1480,0.296,446,0.0892,3074,0.6148
112,1464,0.2928,441,0.0882,3095,0.619
113,1445,0.289,448,0.0896,3107,0.6214
114,1433,0.2866,431,0.0862,3136,0.6272
115,1420,0.284,424,0.0848,3156,0.6312
116,1408,0.2816,417,0.0834,3175,0.635
117,1400,0.28,410,0.082,3190,0.638
118,1388,0.2776,403,0.0806,3209,0.6418
119,1376,0.2752,409,0.0818,3215,0.643
120,1365,0.273,407,0.0814,3228,0.6456
121,1356,0.2712,395,0.079,3249,0.6498
122,1350,0.27,383,0.0766,3267,0.6534
123,1345,0.269,368,0.0736,3287,0.6574
124,1334,0.2668,362,0.0724,3304,0.6608
125,1325,0.265,350,0.07,3325,0.665
126,1314,0.2628,334,0.0668,3352,0.6704
127,1305,0.261,340,0.068,3355,0.671
128,1303,0.2606,333,0.0666,3364,0.6728
129,1298,0.2596,329,0.0658,3373,0.6746
130,1293,0.2586,309,0.0618,3398,0.6796
131,1288,0.2576,297,0.0594,3415,0.683
132,1284,0.2568,302,0.0604,3414,0.6828
133,1281,0.2562,290,0.058,3429,0.6858
134,1279,0.2558,289,0.0578,3432,0.6864
135,1277,0.2554,282,0.0564,3441,0.6882
136,1273,0.2546,273,0.0546,3454,0.6908
137,1271,0.2542,263,0.0526,3466,0.6932
138,1269,0.2538,245,0.049,3486,0.6972
139,1267,0.2534,231,0.0462,3502,0.7004
140,1266,0.2532,232,0.0464,3502,0.7004
141,1263,0.2526,235,0.047,3502,0.7004
142,1260,0.252,233,0.0466,3507,0.7014
143,1256,0.2512,236,0.0472,3508,0.7016
144,1256,0.2512,229,0.0458,3515,0.703
145,1256,0.2512,226,0.0452,3518,0.7036
146,1256,0.2512,227,0.0454,3517,0.7034
147,1256,0.2512,223,0.0446,3521,0.7042
148,1256,0.2512,210,0.042,3534,0.7068
149,1256,0.2512,205,0.041,3539,0.7078
150,1254,0.2508,195,0.039,3551,0.7102
151,1249,0.2498,200,0.04,3551,0.7102
152,1243,0.2486,198,0.0396,3559,0.7118
153,1236,0.2472,199,0.0398,3565,0.713
154,1227,0.2454,199,0.0398,3574,0.7148
155,1217,0.2434,209,0.0418,3574,0.7148
156,1211,0.2422,208,0.0416,3581,0.7162
157,1207,0.2414,215,0.043,3578,0.7156
158,1195,0.239,221,0.0442,3584,0.7168
159,1187,0.2374,229,0.0458,3584,0.7168
160,1180,0.236,236,0.0472,3584,0.7168
161,1176,0.2352,237,0.0474,3587,0.7174
162,1171,0.2342,226,0.0452,3603,0.7206
163,1165,0.233,228,0.0456,3607,0.7214
164,1162,0.2324,219,0.0438,3619,0.7238
165,1158,0.2316,216,0.0432,3626,0.7252
166,1155,0.231,211,0.0422,3634,0.7268
167,1147,0.2294,219,0.0438,3634,0.7268
168,1146,0.2292,214,0.0428,3640,0.728
169,1143,0.2286,217,0.0434,3640,0.728
170,1142,0.2284,217,0.0434,3641,0.7282
171,1141,0.2282,224,0.0448,3635,0.727
172,1140,0.228,219,0.0438,3641,0.7282
173,1137,0.2274,222,0.0444,3641,0.7282
174,1133,0.2266,217,0.0434,3650,0.73
175,1126,0.2252,221,0.0442,3653,0.7306
176,1123,0.2246,207,0.0414,3670,0.734
177,1121,0.2242,203,0.0406,3676,0.7352
178,1119,0.2238,195,0.039,3686,0.7372
179,1116,0.2232,195,0.039,3689,0.7378
180,1114,0.2228,191,0.0382,3695,0.739
181,1112,0.2224,192,0.0384,3696,0.7392
182,1111,0.2222,192,0.0384,3697,0.7394
183,1107,0.2214,187,0.0374,3706,0.7412
184,1105,0.221,185,0.037,3710,0.742
185,1102,0.2204,174,0.0348,3724,0.7448
186,1100,0.22,169,0.0338,3731,0.7462
187,1098,0.2196,165,0.033,3737,0.7474
188,1093,0.2186,165,0.033,3742,0.7484
189,1089,0.2178,165,0.033,3746,0.7492
190,1087,0.2174,157,0.0314,3756,0.7512
191,1086,0.2172,156,0.0312,3758,0.7516
192,1084,0.2168,152,0.0304,3764,0.7528
193,1081,0.2162,151,0.0302,3768,0.7536
194,1080,0.216,151,0.0302,3769,0.7538
195,1079,0.2158,145,0.029,3776,0.7552
196,1078,0.2156,140,0.028,3782,0.7564
197,1077,0.2154,142,0.0284,3781,0.7562
198,1075,0.215,142,0.0284,3783,0.7566
199,1065,0.213,148,0.0296,3787,0.7574
200,1060,0.212,156,0.0312,3784,0.7568
201,1054,0.2108,158,0.0316,3788,0.7576
202,1043,0.2086,167,0.0334,3790,0.758
203,1033,0.2066,177,0.0354,3790,0.758
204,1023,0.2046,177,0.0354,3800,0.76
205,1013,0.2026,176,0.0352,3811,0.7622
206,1005,0.201,189,0.0378,3806,0.7612
207,993,0.1986,189,0.0378,3818,0.7636
208,986,0.1972,197,0.0394,3817,0.7634
209,969,0.1938,207,0.0414,3824,0.7648
210,961,0.1922,212,0.0424,3827,0.7654
211,956,0.1912,213,0.0426,3831,0.7662
212,953,0.1906,216,0.0432,3831,0.7662
213,947,0.1894,223,0.0446,3830,0.766
214,942,0.1884,212,0.0424,3846,0.7692
215,931,0.1862,219,0.0438,3850,0.77
216,925,0.185,225,0.045,3850,0.77
217,923,0.1846,217,0.0434,3860,0.772
