step,Sick State Simulation-healthy_num,Sick State Simulation-healthy_coverage,Sick State Simulation-infected_num,Sick State Simulation-infected_coverage,Sick State Simulation-recovered_num,Sick State Simulation-recovered_coverage
1,485,0.97,10,0.02,5,0.01
2,481,0.962,13,0.026,6,0.012
3,472,0.944,22,0.044,6,0.012
4,466,0.932,27,0.054,7,0.014
5,459,0.918,32,0.064,9,0.018
6,449,0.898,40,0.08,11,0.022
7,445,0.89,38,0.076,17,0.034
8,442,0.884,37,0.074,21,0.042
9,437,0.874,41,0.082,22,0.044
10,429,0.858,46,0.092,25,0.05
11,421,0.842,51,0.102,28,0.056
12,413,0.826,58,0.116,29,0.058
13,406,0.812,61,0.122,33,0.066
14,401,0.802,63,0.126,36,0.072
15,393,0.786,62,0.124,45,0.09
16,383,0.766,64,0.128,53,0.106
17,375,0.75,71,0.142,54,0.108
18,366,0.732,78,0.156,56,0.112
19,353,0.706,85,0.17,62,0.124
20,338,0.676,90,0.18,72,0.144
21,330,0.66,92,0.184,78,0.156
22,317,0.634,95,0.19,88,0.176
23,303,0.606,100,0.2,97,0.194
24,291,0.582,99,0.198,110,0.22
25,281,0.562,100,0.2,119,0.238
26,271,0.542,106,0.212,123,0.246
27,263,0.526,105,0.21,132,0.264
28,252,0.504,107,0.214,141,0.282
29,244,0.488,109,0.218,147,0.294
30,241,0.482,103,0.206,156,0.312
31,231,0.462,106,0.212,163,0.326
32,228,0.456,99,0.198,173,0.346
33,225,0.45,101,0.202,174,0.348
34,222,0.444,105,0.21,173,0.346
35,216,0.432,98,0.196,186,0.372
36,213,0.426,99,0.198,188,0.376
37,206,0.412,99,0.198,195,0.39
38,204,0.408,92,0.184,204,0.408
39,199,0.398,90,0.18,211,0.422
40,193,0.386,86,0.172,221,0.442
41,189,0.378,88,0.176,223,0.446
42,183,0.366,89,0.178,228,0.456
43,177,0.354,89,0.178,234,0.468
44,173,0.346,89,0.178,238,0.476
45,169,0.338,85,0.17,246,0.492
46,162,0.324,88,0.176,250,0.5
47,160,0.32,84,0.168,256,0.512
48,156,0.312,90,0.18,254,0.508
49,153,0.306,93,0.186,254,0.508
50,151,0.302,88,0.176,261,0.522
51,150,0.3,89,0.178,261,0.522
52,147,0.294,83,0.166,270,0.54
53,146,0.292,76,0.152,278,0.556
54,144,0.288,67,0.134,289,0.578
55,141,0.282,63,0.126,296,0.592
56,139,0.278,61,0.122,300,0.6
57,136,0.272,59,0.118,305,0.61
58,135,0.27,50,0.1,315,0.63
59,134,0.268,48,0.096,318,0.636
60,133,0.266,46,0.092,321,0.642
61,133,0.266,46,0.092,321,0.642
62,133,0.266,44,0.088,323,0.646
63,133,0.266,42,0.084,325,0.65
64,133,0.266,43,0.086,324,0.648
65,133,0.266,38,0.076,329,0.658
66,133,0.266,37,0.074,330,0.66
67,133,0.266,33,0.066,334,0.668
68,133,0.266,31,0.062,336,0.672
69,133,0.266,31,0.062,336,0.672
70,133,0.266,30,0.06,337,0.674
71,132,0.264,28,0.056,340,0.68
72,131,0.262,29,0.058,340,0.68
73,130,0.26,29,0.058,341,0.682
74,130,0.26,30,0.06,340,0.68
75,130,0.26,28,0.056,342,0.684
76,129,0.258,29,0.058,342,0.684
77,129,0.258,24,0.048,347,0.694
78,129,0.258,23,0.046,348,0.696
79,129,0.258,22,0.044,349,0.698
80,129,0.258,21,0.042,350,0.7
81,129,0.258,17,0.034,354,0.708
82,129,0.258,16,0.032,355,0.71
83,129,0.258,14,0.028,357,0.714
84,129,0.258,13,0.026,358,0.716
85,129,0.258,12,0.024,359,0.718
86,129,0.258,14,0.028,357,0.714
87,129,0.258,15,0.03,356,0.712
88,129,0.258,16,0.032,355,0.71
89,129,0.258,14,0.028,357,0.714
90,129,0.258,13,0.026,358,0.716
91,129,0.258,14,0.028,357,0.714
92,129,0.258,10,0.02,361,0.722
93,129,0.258,9,0.018,362,0.724
94,129,0.258,9,0.018,362,0.724
95,129,0.258,11,0.022,360,0.72
96,129,0.258,11,0.022,360,0.72
97,129,0.258,9,0.018,362,0.724
98,129,0.258,8,0.016,363,0.726
99,129,0.258,9,0.018,362,0.724
100,129,0.258,8,0.016,363,0.726
