step,Sick State Simulation-healthy_num,Sick State Simulation-healthy_coverage,Sick State Simulation-infected_num,Sick State Simulation-infected_coverage,Sick State Simulation-recovered_num,Sick State Simulation-recovered_coverage
1,494,0.988,5,0.01,1,0.002
2,492,0.984,7,0.014,1,0.002
3,487,0.974,12,0.024,1,0.002
4,483,0.966,16,0.032,1,0.002
5,478,0.956,17,0.034,5,0.01
6,474,0.948,20,0.04,6,0.012
7,470,0.94,23,0.046,7,0.014
8,464,0.928,25,0.05,11,0.022
9,462,0.924,25,0.05,13,0.026
10,461,0.922,27,0.054,12,0.024
11,457,0.914,26,0.052,17,0.034
12,454,0.908,28,0.056,18,0.036
13,450,0.9,30,0.06,20,0.04
14,444,0.888,35,0.07,21,0.042
15,441,0.882,36,0.072,23,0.046
16,441,0.882,33,0.066,26,0.052
17,439,0.878,34,0.068,27,0.054
18,435,0.87,34,0.068,31,0.062
19,430,0.86,35,0.07,35,0.07
20,425,0.85,38,0.076,37,0.074
21,421,0.842,40,0.08,39,0.078
22,409,0.818,52,0.104,39,0.078
23,394,0.788,61,0.122,45,0.09
24,378,0.756,71,0.142,51,0.102
25,363,0.726,80,0.16,57,0.114
26,355,0.71,87,0.174,58,0.116
27,339,0.678,97,0.194,64,0.128
28,323,0.646,105,0.21,72,0.144
29,313,0.626,107,0.214,80,0.16
30,293,0.586,120,0.24,87,0.174
31,279,0.558,121,0.242,100,0.2
32,258,0.516,135,0.27,107,0.214
33,240,0.48,146,0.292,114,0.228
34,224,0.448,148,0.296,128,0.256
35,212,0.424,152,0.304,136,0.272
36,203,0.406,148,0.296,149,0.298
37,200,0.4,136,0.272,164,0.328
38,193,0.386,135,0.27,172,0.344
39,183,0.366,139,0.278,178,0.356
40,178,0.356,135,0.27,187,0.374
41,167,0.334,134,0.268,199,0.398
42,156,0.312,138,0.276,206,0.412
43,151,0.302,141,0.282,208,0.416
44,148,0.296,131,0.262,221,0.442
45,143,0.286,122,0.244,235,0.47
46,140,0.28,119,0.238,241,0.482
47,136,0.272,110,0.22,254,0.508
48,136,0.272,98,0.196,266,0.532
49,135,0.27,95,0.19,270,0.54
50,135,0.27,91,0.182,274,0.548
51,133,0.266,87,0.174,280,0.56
52,132,0.264,80,0.16,288,0.576
53,130,0.26,77,0.154,293,0.586
54,128,0.256,86,0.172,286,0.572
55,127,0.254,82,0.164,291,0.582
56,125,0.25,81,0.162,294,0.588
57,125,0.25,80,0.16,295,0.59
58,123,0.246,76,0.152,301,0.602
59,122,0.244,76,0.152,302,0.604
60,122,0.244,70,0.14,308,0.616
61,122,0.244,66,0.132,312,0.624
62,121,0.242,62,0.124,317,0.634
63,121,0.242,60,0.12,319,0.638
64,121,0.242,60,0.12,319,0.638
65,120,0.24,57,0.114,323,0.646
66,120,0.24,55,0.11,325,0.65
